City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Minna,NG,9.6139,6.5569,91.11,62,40,5.75,light rain
211,Yuksekova,TR,37.5736,44.2872,47.95,71,20,8.05,few clouds
212,Orichi,RU,58.4036,49.0572,33.58,83,36,8.41,scattered clouds
213,Vicuna,CL,-30.0319,-70.7081,87.76,27,16,9.75,few clouds
214,Suez,EG,29.9737,32.5263,70.79,64,90,15.5,overcast clouds
215,Punto Fijo,VE,11.6956,-70.1996,87.71,61,83,15.68,broken clouds
216,Llangefni,GB,53.2556,-4.3106,58.86,82,40,20.71,scattered clouds
217,Antofagasta,CL,-23.65,-70.4,61.88,64,32,9.71,scattered clouds
218,Nanga Eboko,CM,4.6833,12.3667,74.16,87,91,1.1,light rain
219,Zavyalovo,RU,54.5053,82.4484,33.76,67,38,14.88,scattered clouds
220,Chuy,UY,-33.6971,-53.4616,65.3,67,76,10.25,broken clouds
221,Veraval,IN,20.9,70.3667,80.65,61,0,7.38,clear sky
222,Kalmanka,RU,52.8992,83.5433,31.33,64,16,6.29,few clouds
223,Ponta Do Sol,PT,32.6667,-17.1,75.83,72,100,10.42,overcast clouds
224,Narsaq,GL,60.9167,-46.05,34.02,95,99,1.32,light snow
225,Necochea,AR,-38.5473,-58.7368,76.44,38,100,9.4,overcast clouds
226,Noyabrsk,RU,63.1994,75.4507,32.18,98,100,15.73,light snow
227,Edd,ER,13.9297,41.6925,88.34,56,4,12.75,clear sky
228,Kautokeino,NO,69.0125,23.0412,28.62,77,95,3.42,overcast clouds
229,Tarija,BO,-21.5355,-64.7296,84.11,34,20,4.61,few clouds
230,Cayenne,GF,4.9333,-52.3333,89.64,62,100,9.22,overcast clouds
231,Lagos,NG,6.5833,3.75,86.32,80,67,5.17,light rain
232,Viedma,AR,-40.8135,-62.9967,80.73,17,85,14.88,overcast clouds
233,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,96.15,29,43,10.0,scattered clouds
234,Hindupur,IN,13.8289,77.4933,67.8,62,100,2.68,overcast clouds
235,Ardakan,IR,32.31,54.0175,75.72,15,51,3.15,broken clouds
236,Rocha,UY,-34.4833,-54.3333,70.2,59,45,11.88,scattered clouds
237,Paso De Patria,AR,-27.2454,-58.5454,89.08,28,27,8.88,light rain
238,Sechura,PE,-5.5569,-80.8222,74.93,55,89,11.61,overcast clouds
239,Tukan,RU,53.8409,57.4552,32.47,97,100,10.67,light snow
240,Pokaran,IN,26.9167,71.9167,80.4,18,0,1.14,clear sky
241,Elizabeth City,US,36.2946,-76.2511,62.62,88,100,8.05,overcast clouds
242,Kologriv,RU,58.8275,44.3178,36.45,78,90,9.98,overcast clouds
243,Kruisfontein,ZA,-34.0033,24.7314,69.89,91,10,10.71,clear sky
244,Middelburg,ZA,-25.7751,29.4648,69.04,53,82,5.23,broken clouds
245,San Carlos De Bariloche,AR,-41.1456,-71.3082,59.25,41,20,27.63,few clouds
246,Pangnirtung,CA,66.1451,-65.7125,24.8,68,75,14.97,broken clouds
247,Puerto Quijarro,BO,-17.7833,-57.7667,99.07,28,91,3.91,overcast clouds
248,Thetford Mines,CA,46.0913,-71.3013,53.55,77,100,1.57,light rain
249,Pietarsaari,FI,63.65,22.6833,37.89,76,98,7.31,overcast clouds
250,Kouroussa,GN,10.65,-9.8833,82.44,75,91,3.02,overcast clouds
251,Moose Factory,CA,51.2585,-80.6094,68.0,56,0,12.66,clear sky
252,Tabuk,PH,17.4189,121.4443,73.42,95,59,3.89,broken clouds
