City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,Coihaique,-45.5752,-72.0662,42.75,75,75,5.75,CL,2022-07-28 22:20:28
237,Lahij,13.1667,44.5833,87.24,47,23,3.78,YE,2022-07-28 22:20:28
238,Nemuro,43.3236,145.575,60.15,91,59,3.2,JP,2022-07-28 22:20:29
239,Rudsar,37.1376,50.288,76.53,83,90,6.26,IR,2022-07-28 22:20:29
240,Abilene,32.4487,-99.7331,101.08,24,75,16.11,US,2022-07-28 22:17:03
241,Ewa Beach,21.3156,-158.0072,87.75,51,0,18.41,US,2022-07-28 22:20:30
242,Hervey Bay,-25.2986,152.8535,53.02,88,0,1.01,AU,2022-07-28 22:20:30
243,Lebu,-37.6167,-73.65,49.96,84,0,16.53,CL,2022-07-28 22:20:30
244,Shahr-E Kord,32.3256,50.8644,65.97,88,40,4.61,IR,2022-07-28 22:20:31
245,Beboto,8.2668,16.939,69.31,99,92,4.03,TD,2022-07-28 22:20:31
246,Kaitangata,-46.2817,169.8464,43.25,89,100,8.16,NZ,2022-07-28 22:20:32
247,Wanning,18.8003,110.3967,78.98,86,25,5.97,CN,2022-07-28 22:20:32
248,Trofors,65.5333,13.4063,49.87,86,53,1.32,NO,2022-07-28 22:20:32
249,Baherden,38.4362,57.4316,83.84,37,26,2.51,TM,2022-07-28 22:20:32
250,Muros,42.7762,-9.0603,67.08,80,0,5.93,ES,2022-07-28 22:20:33
251,Santa Isabel Do Rio Negro,-0.4139,-65.0192,81.79,72,60,1.9,BR,2022-07-28 22:20:33
252,Ormara,25.2088,64.6357,81.77,77,100,13.22,PK,2022-07-28 22:20:34
253,Concepcion,-36.827,-73.0498,55.2,76,0,10.36,CL,2022-07-28 22:20:34
254,Virginia Beach,36.8529,-75.978,96.06,58,75,11.5,US,2022-07-28 22:16:24
255,Jalu,29.0331,21.5482,85.64,39,0,14.52,LY,2022-07-28 22:20:34
256,Ancud,-41.8697,-73.8203,46.22,79,100,4.88,CL,2022-07-28 22:20:35
257,Concepcion Del Oro,24.6333,-101.4167,71.56,40,96,5.21,MX,2022-07-28 22:20:35
258,Thunder Bay,48.4001,-89.3168,67.91,73,75,9.22,CA,2022-07-28 22:19:25
259,Vila Franca Do Campo,37.7167,-25.4333,70.21,85,14,3.76,PT,2022-07-28 22:20:35
260,Sinop,41.7711,34.8709,62.33,64,0,5.59,TR,2022-07-28 22:20:36
261,Broome,42.2506,-75.833,82.09,66,20,3.44,US,2022-07-28 22:20:36
262,Beringovskiy,63.05,179.3167,49.68,77,100,9.48,RU,2022-07-28 22:20:36
263,Neryungri,56.6709,124.6491,60.39,96,100,3.13,RU,2022-07-28 22:20:37
264,Yar-Sale,66.8333,70.8333,60.67,66,90,5.39,RU,2022-07-28 22:20:37
265,Mahebourg,-20.4081,57.7,69.26,88,40,9.22,MU,2022-07-28 22:20:37
266,Twentynine Palms,34.1356,-116.0542,102.34,23,74,3.51,US,2022-07-28 22:20:38
267,Palapye,-22.546,27.1251,56.5,50,0,8.48,BW,2022-07-28 22:20:38
268,Dunedin,-45.8742,170.5036,45.81,74,100,5.99,NZ,2022-07-28 22:20:34
269,Ploemeur,47.7333,-3.4333,67.82,72,0,0.0,FR,2022-07-28 22:20:38
270,Namatanai,-3.6667,152.4333,81.73,75,90,11.25,PG,2022-07-28 22:20:39
271,Half Moon Bay,37.4636,-122.4286,79.41,72,100,19.57,US,2022-07-28 22:18:32
272,Isangel,-19.55,169.2667,75.4,87,100,11.43,VU,2022-07-28 22:20:39
273,Poya,-21.35,165.15,69.64,70,0,6.6,NC,2022-07-28 22:20:40
274,Mar Del Plata,-38.0023,-57.5575,49.08,96,100,18.99,AR,2022-07-28 22:20:40
275,Balkanabat,39.5108,54.3671,84.38,52,5,7.43,TM,2022-07-28 22:21:40
276,Jishou,28.3167,109.7167,72.95,95,1,1.25,CN,2022-07-28 22:21:41
277,Oussouye,12.485,-16.5469,82.49,82,87,11.72,SN,2022-07-28 22:21:41
278,Buraydah,26.326,43.975,95.45,16,98,4.74,SA,2022-07-28 22:17:20
279,Bayan,46.0833,127.4,71.58,96,99,3.78,CN,2022-07-28 22:21:41
280,Arroyo,41.6096,-4.7969,76.14,46,0,12.66,ES,2022-07-28 22:21:42
281,Nanortalik,60.1432,-45.2371,45.37,82,55,4.59,GL,2022-07-28 22:21:42
282,Mogadishu,2.0371,45.3438,75.88,83,46,16.82,SO,2022-07-28 22:21:42
283,Ligayan,4.6533,119.4706,83.01,68,99,3.02,PH,2022-07-28 22:21:43
284,Imbituba,-28.24,-48.6703,77.86,87,100,11.99,BR,2022-07-28 22:21:43
285,Parakou,9.3372,2.6303,70.39,97,100,7.07,BJ,2022-07-28 22:21:43
286,Khani,41.9563,42.9566,56.77,95,4,2.13,GE,2022-07-28 22:21:44
287,Labuhan,-6.8844,112.2051,75.16,87,84,5.88,ID,2022-07-28 22:21:44
288,Farafangana,-22.8167,47.8333,66.87,86,43,2.15,MG,2022-07-28 22:21:45
289,Ribeira Grande,38.5167,-28.7,73.38,77,15,4.88,PT,2022-07-28 22:18:27
290,Batemans Bay,-35.7167,150.1833,48.09,88,58,4.85,AU,2022-07-28 22:21:45
291,Tamworth,52.634,-1.6959,66.52,64,92,1.99,GB,2022-07-28 22:18:28
292,Halifax,44.6453,-63.5724,78.69,54,20,12.66,CA,2022-07-28 22:21:45
293,Sao Filipe,14.8961,-24.4956,79.52,76,16,11.88,CV,2022-07-28 22:21:46
